,Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Type_D,Fuel Type_E,Fuel Type_N,Fuel Type_X,Fuel Type_Z
332,-0.851086201165638,-0.8769341163215539,-1.092049000031017,1.185547482178427,0,0,0,1,0
3664,-0.851086201165638,-0.8769341163215539,-0.5490578644162534,0.35736052061216417,0,0,0,1,0
2981,1.5663321179251866,1.2897915940941798,0.5708613527891958,-0.7468887614761863,0,0,0,1,0
1744,0.32099540809051946,0.20642873888631294,0.469050514861428,-0.6088576012151425,0,0,0,0,1
3482,-0.851086201165638,-0.8769341163215539,-0.7866164862477127,0.6334228411342517,0,0,0,1,0
3904,1.3465668161896571,1.2897915940941798,0.4011766229095822,-0.6088576012151425,0,0,0,1,0
1258,-0.4848106982730888,-0.8769341163215539,-0.3793731345366398,0.21932936035112033,0,0,0,1,0
4390,-0.11853519538053964,0.20642873888631294,0.5708613527891958,-0.7468887614761863,0,0,0,0,1
1451,0.3942505086690294,0.20642873888631294,0.4011766229095822,-0.6088576012151425,0,0,0,1,0
3555,0.4675056092475389,0.20642873888631294,0.12968105510220088,-0.3327952806930549,0,0,0,0,1
1116,2.2256280231317755,1.2897915940941798,1.9622761378020275,-1.4370445627814052,0,0,0,0,1
1541,-1.1441066034796774,-0.8769341163215539,-0.7866164862477127,0.6334228411342517,0,0,0,0,1
2463,-0.4848106982730888,-0.8769341163215539,-0.9902381621032489,1.047516321917383,0,0,0,1,0
4320,-0.851086201165638,-0.8769341163215539,-0.7866164862477127,0.6334228411342517,0,0,0,0,1
5219,-0.11853519538053964,0.20642873888631294,0.5708613527891958,-0.7468887614761863,0,0,0,0,1
3258,-0.11853519538053964,0.20642873888631294,-0.20968840465702623,-0.056732960170967274,0,0,0,0,1
5625,0.6140158104045588,0.20642873888631294,0.9441677585243461,-1.022951081998274,0,0,0,1,0
3137,-0.4848106982730888,-0.8769341163215539,1.24960027230765,-1.1609822422593177,0,1,0,0,0
5151,1.8593525202392263,1.2897915940941798,1.656843624018723,-1.2990134025203615,0,0,0,1,0
3262,1.3465668161896571,1.2897915940941798,0.7744830286447325,-0.8849199217372301,0,0,0,0,1
